Year,Make,Model,Price,Miles,Rating,Source
2021,Jeep,Wrangler,38900,37017,N/A,Source.CARFAX
2020,Hyundai,Elantra,14500,54221,N/A,Source.CARFAX
2021,Hyundai,Kona,17995,47367,N/A,Source.CARFAX
2020,Chevrolet,Equinox,17466,77866,N/A,Source.CARFAX
2020,Ford,F-150,25787,74100,N/A,Source.CARFAX
2024,BMW,X3,46500,4213,N/A,Source.CARFAX
2022,Ford,Bronco Sport,22490,47286,N/A,Source.CARFAX
2024,Hyundai,Venue,21900,4576,N/A,Source.CARFAX
2020,Ford,F-150,27900,102154,N/A,Source.CARFAX
2024,Nissan,Rogue,34998,1537,N/A,Source.CARFAX
2020,Nissan,Pathfinder,19200,73512,N/A,Source.CARFAX
2023,GMC,Canyon,49983,6309,N/A,Source.CARFAX
2023,Chevrolet,Equinox,29000,7258,N/A,Source.CARFAX
2023,Kia,Sorento,27995,2254,N/A,Source.CARFAX
2021,Chevrolet,Colorado,32740,15332,N/A,Source.CARFAX
2021,Jeep,Grand Cherokee,22995,70505,N/A,Source.CARFAX
2021,Audi,SQ5,30967,113357,N/A,Source.CARFAX
2022,Toyota,Corolla Cross,24795,16810,N/A,Source.CARFAX
2021,Toyota,Venza,32904,22632,N/A,Source.CARFAX
2021,Volkswagen,Tiguan,15993,71980,N/A,Source.CARFAX
2023,Nissan,Altima,24725,5891,N/A,Source.CARFAX
2024,Kia,K5,32488,18433,N/A,Source.CARFAX
2020,Mazda,CX-5,18421,61078,N/A,Source.CARFAX
2020,Buick,Encore,14500,76497,N/A,Source.CARFAX
2020,Jeep,Renegade,13750,80914,N/A,Source.CARFAX
2023,Chevrolet,TrailBlazer,25761,5201,N/A,Source.CARFAX
2021,Volkswagen,Atlas,21555,53964,N/A,Source.CARFAX
2021,Ram,1500,21998,131448,N/A,Source.CARFAX
2022,Nissan,Frontier,33129,36034,N/A,Source.CARFAX
2023,Mazda,CX-5,30497,12609,N/A,Source.CARFAX
2021,Ram,1500,38911,49453,N/A,Source.CARFAX
2020,Nissan,Rogue,17490,61041,N/A,Source.CARFAX
2023,Mazda,CX-30,24298,18139,N/A,Source.CARFAX
2023,GMC,Terrain,29244,18002,N/A,Source.CARFAX
2023,Land Rover,Range Rover Evoque,40130,13619,N/A,Source.CARFAX
2023,Kia,Sportage,29260,32870,N/A,Source.CARFAX
2022,Jeep,Grand Cherokee L,36300,17717,N/A,Source.CARFAX
2023,Ford,Bronco Sport,34760,15845,N/A,Source.CARFAX
2021,Ford,Explorer,30577,33925,N/A,Source.CARFAX
2022,Subaru,Outback,25555,29423,N/A,Source.CARFAX
2024,Buick,Encore GX,24712,15462,N/A,Source.CARFAX
2021,Jeep,Compass,18400,59170,N/A,Source.CARFAX
2020,Nissan,Rogue,18898,40175,N/A,Source.CARFAX
2022,Kia,Forte,20539,34626,N/A,Source.CARFAX
2022,Nissan,Frontier,35489,12222,N/A,Source.CARFAX
2020,Honda,Fit,16656,34164,N/A,Source.CARFAX
2022,Ford,F-150,43497,31611,N/A,Source.CARFAX
2020,Nissan,Rogue,16398,60630,N/A,Source.CARFAX
2023,Hyundai,Kona,23995,10321,N/A,Source.CARFAX
2021,Nissan,Rogue,21042,65239,N/A,Source.CARFAX
2021,Mazda,CX-5,22989,30295,N/A,Source.CARFAX
2021,Cadillac,XT5,28998,26498,N/A,Source.CARFAX
2021,Nissan,Rogue,21042,65239,N/A,Source.CARFAX
2021,Ford,EcoSport,15987,57049,N/A,Source.CARFAX
2021,Ford,Bronco,38281,42108,N/A,Source.CARFAX
2020,GMC,Terrain,21698,61826,N/A,Source.CARFAX
2021,Lexus,NX,28000,36878,N/A,Source.CARFAX
2021,Subaru,Outback,23955,64478,N/A,Source.CARFAX
2024,Kia,K5,29150,8782,N/A,Source.CARFAX
2020,Kia,Optima,12244,143553,N/A,Source.CARFAX
2020,Chevrolet,Equinox,17312,70128,N/A,Source.CARFAX
2022,Dodge,Challenger,47085,11677,N/A,Source.CARFAX
2021,Kia,Forte,14345,74266,N/A,Source.CARFAX
2022,Dodge,Challenger,38995,31834,N/A,Source.CARFAX
2023,Chevrolet,TrailBlazer,25998,3200,N/A,Source.CARFAX
2020,Hyundai,Elantra,14500,54221,N/A,Source.CARFAX
2021,Volvo,XC60,29656,28842,N/A,Source.CARFAX
2023,Genesis,G80,35200,52123,N/A,Source.CARFAX
2021,Kia,Forte,11499,141131,N/A,Source.CARFAX
2024,Chevrolet,TrailBlazer,26948,10008,N/A,Source.CARFAX
2021,Mazda,CX-5,18997,78004,N/A,Source.CARFAX
2020,Ford,Escape,19416,39258,N/A,Source.CARFAX
2024,Hyundai,Venue,23500,2901,N/A,Source.CARFAX
2021,Jeep,Wrangler,38900,37017,N/A,Source.CARFAX
2021,Jeep,Renegade,21766,14458,N/A,Source.CARFAX
2020,Ford,Escape,19416,39258,N/A,Source.CARFAX
2024,Mini,Cooper Countryman,34988,7017,N/A,Source.CARFAX
2020,Kia,Optima,13875,60912,N/A,Source.CARFAX
